<Function 1, scan #0, time 0.0034000000450760126>
00-18-C7-37-88-4E	7E-49-05-EA-38-6E
raw_mcr	raw_count	mcr_multiplier	count_gain
14768256	15959	1	64
14777434	9851	1	64
14786610	9486	1	64
14795788	19570	1	64
14804964	16507	1	64
14814142	8741	1	64
14823320	17646	1	16
14832496	21376	1	64
14841674	18610	1	64
14850850	8219	1	64
14860028	13184	1	64
14869204	13531	1	4
14878382	21394	1	16
14887558	14510	1	64
14896736	32293	1	64
14905914	18688	1	64
14915090	26135	1	64
14924268	31173	1	64
14933444	10519	1	64
14942622	18487	1	64
14951798	9709	1	256
14960976	14394	1	256
14970152	9517	1	256
14979330	8907	1	256
14988506	12901	1	256
14997684	15082	1	256
15006862	9211	1	256
15016038	8536	1	256
15025216	13064	1	256
15034392	18103	1	64
15043570	10403	1	256
15052746	10232	1	256
15061924	13745	1	256
15071100	18185	1	64
15080278	24160	1	64
15089456	23323	1	64
15098632	11067	1	64
15107810	8214	1	256
15116986	14245	1	64
15126164	9632	1	64
15135340	24114	1	64
15144518	13445	1	64
15153694	2048	1	1
15162872	27392	1	16
15172050	19945	1	64
15181226	13280	1	64
15190404	9947	1	4
15199580	10382	1	64
15208758	8622	1	64
15217934	11968	1	64
15227112	11813	1	16
15236288	12654	1	64
15245466	9330	1	64
15254644	878	1	1
15263820	0	1	1
15272998	28251	1	16
15282174	1170	1	1
15291352	878	1	1
15300528	30866	1	4
15309706	0	1	1
15318882	585	1	1
15328060	2926	1	1
15337236	293	1	1
15346414	10551	1	16
15355592	21870	1	16
15364768	4974	1	1
15373946	32283	1	64
15383122	878	1	1
15392300	0	1	1
15401476	0	1	1
15410654	10331	1	16
15419830	19895	1	16
15429008	21321	1	16
15438186	21083	1	64
15447362	10409	1	64
15456540	14281	1	16
15465716	10171	1	64
15474894	9536	1	64
15484070	16603	1	16
15493248	16718	1	64
15502424	12261	1	64
15511602	0	1	1
15520780	27959	1	16
15529956	9618	1	64
15539134	293	1	1
15548310	12489	1	16
15557488	0	1	1
15566664	0	1	1
15575842	1463	1	1
15585018	11721	1	16
15594196	18414	1	16
15603374	13751	1	1
15612550	0	1	1
15685966	0	1	1
15695144	11337	1	16
15704322	8357	1	16
15713498	22016	1	4
15722676	4096	1	1
15731852	19749	1	16
15741030	0	1	1
15759384	0	1	1
15768560	9911	1	16
15777738	11506	1	64
15786916	20773	1	1
15796092	0	1	1
15851154	0	1	1
15860332	16494	1	16
15869510	10002	1	16
15878686	10469	1	64
15887864	0	1	1
15897040	6144	1	1
15906218	19749	1	4
15915394	11150	1	64
15924572	15817	1	16
15933748	0	1	1
15942926	0	1	1
15952104	12471	1	16
15961280	0	1	1
15970458	28709	1	16
15979634	23515	1	16
15988812	9184	1	64
15997988	12654	1	64
16007166	25600	1	16
16016342	15369	1	64
16025520	29559	1	64
16034696	17555	1	256
16043874	20430	1	256
16053052	19413	1	256
16062228	23747	1	256
16071406	24554	1	256
16080582	19155	1	256
16089760	27639	1	64
16098936	29440	1	64
16108114	15927	1	256
16117290	11965	1	256
16126468	8873	1	64
16135646	9655	1	1
16144822	19945	1	64
16154000	11776	1	64
16163176	12434	1	64
16172354	11904	1	64
16181530	8306	1	64
16190708	10130	1	16
16199884	4974	1	1
16209062	8997	1	4
16218240	4096	1	1
16227416	10688	1	64
16236594	17298	1	16
16245770	8850	1	64
16254948	13659	1	16
16264124	30171	1	64
16273302	27483	1	16
