<Function 1, scan #1, time 0.010716666467487812>
00-18-61-86-74-4F	3D-7C-05-24-03-6E
raw_mcr	raw_count	mcr_multiplier	count_gain
14235984	10287	1	256
14245162	8857	1	256
14254338	14579	1	256
14263516	17453	1	256
14272692	19849	1	256
14281870	21813	1	256
14291048	24529	1	256
14300224	10084	1	1024
14309402	8841	1	1024
14318578	10185	1	1024
14327756	32099	1	256
14336932	9637	1	1024
14346110	30504	1	256
14355286	28475	1	256
14364464	8621	1	1024
14373640	16002	1	1024
14382818	17763	1	1024
14391996	22924	1	1024
14401172	29430	1	1024
14410350	25629	1	1024
14419526	31805	1	1024
14428704	24257	1	1024
14437880	25684	1	1024
14447058	27638	1	1024
14456234	27645	1	1024
14465412	21416	1	1024
14474590	20246	1	1024
14483766	11534	1	1024
14492944	10093	1	1024
14502120	12893	1	1024
14511298	13427	1	1024
14520474	18945	1	1024
14529652	22663	1	1024
14538828	29681	1	1024
14548006	25847	1	1024
14557184	21896	1	1024
14566360	30539	1	1024
14575538	30250	1	1024
14584714	23719	1	1024
14593892	27256	1	1024
14603068	22211	1	1024
14612246	20005	1	1024
14621422	10683	1	1024
14630600	26114	1	256
14639778	32638	1	256
14648954	11178	1	1024
14658132	15064	1	1024
14667308	17022	1	1024
14676486	15792	1	1024
14685662	16147	1	1024
14694840	13019	1	1024
14704016	14275	1	1024
14713194	16273	1	1024
14722370	14577	1	1024
14731548	15556	1	1024
14740726	11345	1	1024
14749902	26534	1	256
14759080	22625	1	256
14768256	8722	1	1024
14777434	13544	1	1024
14786610	16330	1	1024
14795788	18628	1	1024
14804964	18585	1	1024
14814142	26105	1	1024
14823320	21705	1	1024
14832496	23003	1	1024
14841674	20211	1	1024
14850850	21702	1	1024
14860028	18160	1	1024
14869204	20249	1	1024
14878382	14086	1	1024
14887558	10463	1	1024
14896736	9762	1	1024
14905914	32523	1	256
14915090	17156	1	1024
14924268	21740	1	1024
14933444	17334	1	1024
14942622	19005	1	1024
14951798	20449	1	1024
14960976	22365	1	1024
14970152	15741	1	1024
14979330	18937	1	1024
14988506	13755	1	1024
14997684	10015	1	1024
15006862	31771	1	256
15016038	22314	1	256
15025216	20753	1	256
15034392	15367	1	256
15043570	21566	1	256
15052746	30106	1	256
15061924	9001	1	1024
15071100	9391	1	1024
15080278	13685	1	1024
15089456	12939	1	1024
15098632	13139	1	1024
15107810	10396	1	1024
15116986	11429	1	1024
15126164	10117	1	1024
15135340	24143	1	256
15144518	14763	1	256
15153694	8669	1	256
15162872	11978	1	256
15172050	10898	1	256
15181226	9283	1	256
15190404	15627	1	256
15199580	11853	1	256
15208758	22970	1	256
15217934	20493	1	256
15227112	17389	1	256
15236288	17493	1	256
15245466	16329	1	256
15254644	13549	1	256
15263820	9658	1	256
15272998	12031	1	256
15282174	15959	1	64
15291352	13330	1	64
15300528	22752	1	64
15309706	17349	1	256
15318882	17185	1	256
15328060	13783	1	256
15337236	15793	1	256
15346414	17658	1	256
15355592	15112	1	256
15364768	21927	1	256
15373946	15424	1	256
15383122	12849	1	256
15392300	15054	1	256
15401476	13931	1	256
15410654	26222	1	64
15419830	16750	1	16
15429008	19529	1	4
15438186	11922	1	64
15447362	25600	1	64
15456540	15730	1	64
15465716	8282	1	256
15474894	29019	1	64
15484070	14441	1	64
15493248	19218	1	64
15502424	9633	1	256
15511602	20850	1	64
15520780	28027	1	64
15529956	23099	1	64
15539134	10574	1	64
15548310	12283	1	64
15557488	22043	1	64
15566664	20613	1	64
15575842	18299	1	64
15585018	22432	1	64
15594196	24571	1	64
15603374	14457	1	256
15612550	22651	1	64
15621728	23611	1	64
15630904	19799	1	64
15640082	8531	1	256
15649258	15333	1	64
15658436	8754	1	256
15667612	16955	1	64
15676790	9088	1	16
15685966	12745	1	16
