Opening function raw/Bode - ycd-pmknitrone-1_20200215.raw/_FUNC001, and idx file size is 19514
{"points_from_IDX"=>3382080}
887
For scan 0 it begins at 0 and spans 2581 6X bytes
00 00 70 4E 59 EF	0	61273
49 2C 72 28 7D EF	11337	61309
A5 20 72 02 A1 EF	8357	61345
00 56 71 DA C4 EF	22016	61380
00 10 70 B4 E8 EF	4096	61416
25 4D 72 8C 0C F0	19749	61452
00 00 70 66 30 F0	0	61488
00 00 70 18 78 F0	0	61560
B7 26 72 F0 9B F0	9911	61595
F2 2C 73 CA BF F0	11506	61631
25 51 70 A4 E3 F0	20773	61667
00 00 70 7C 07 F1	0	61703
00 00 70 92 DE F1	0	61918
6E 40 72 6C 02 F2	16494	61954
12 27 72 46 26 F2	10002	61990
E5 28 73 1E 4A F2	10469	62026
00 00 70 F8 6D F2	0	62061
00 18 70 D0 91 F2	6144	62097
25 4D 71 AA B5 F2	19749	62133
8E 2B 73 82 D9 F2	11150	62169
C9 3D 72 5C FD F2	15817	62205
00 00 70 34 21 F3	0	62241
00 00 70 0E 45 F3	0	62277
B7 30 72 E8 68 F3	12471	62312
00 00 70 C0 8C F3	0	62348
25 70 72 9A B0 F3	28709	62384
DB 5B 72 72 D4 F3	23515	62420
E0 23 73 4C F8 F3	9184	62456
6E 31 73 24 1C F4	12654	62492
00 64 72 FE 3F F4	25600	62527
09 3C 73 D6 63 F4	15369	62563
77 73 73 B0 87 F4	29559	62599
93 44 74 88 AB F4	17555	62635
CE 4F 74 62 CF F4	20430	62671
D5 4B 74 3C F3 F4	19413	62707
C3 5C 74 14 17 F5	23747	62743
EA 5F 74 EE 3A F5	24554	62778
D3 4A 74 C6 5E F5	19155	62814
F7 6B 73 A0 82 F5	27639	62850
00 73 73 78 A6 F5	29440	62886
37 3E 74 52 CA F5	15927	62922
BD 2E 74 2A EE F5	11965	62958
A9 22 73 04 12 F6	8873	62994
B7 25 70 DE 35 F6	9655	63029
E9 4D 73 B6 59 F6	19945	63065
00 2E 73 90 7D F6	11776	63101
92 30 73 68 A1 F6	12434	63137
80 2E 73 42 C5 F6	11904	63173
72 20 73 1A E9 F6	8306	63209
92 27 72 F4 0C F7	10130	63244
6E 13 70 CC 30 F7	4974	63280
25 23 71 A6 54 F7	8997	63316
00 10 70 80 78 F7	4096	63352
C0 29 73 58 9C F7	10688	63388
92 43 72 32 C0 F7	17298	63424
92 22 73 0A E4 F7	8850	63460
5B 35 72 E4 07 F8	13659	63495
DB 75 73 BC 2B F8	30171	63531
5B 6B 72 96 4F F8	27483	63567
7B 35 73 6E 73 F8	13691	63603
09 46 73 48 97 F8	17929	63639
92 76 71 20 BB F8	30354	63675
80 77 72 FA DE F8	30592	63710
AE 28 73 D4 02 F9	10414	63746
B7 5F 72 AC 26 F9	24503	63782
00 00 70 86 4A F9	0	63818
00 00 70 10 B6 F9	0	63926
6E 32 72 EA D9 F9	12910	63961
2E 38 73 C2 FD F9	14382	63997
37 6E 72 9C 21 FA	28215	64033
49 3A 72 76 45 FA	14921	64069
92 74 71 4E 69 FA	29842	64105
00 00 70 28 8D FA	0	64141
6E 33 72 00 B1 FA	13166	64177
12 2A 72 DA D4 FA	10770	64212
C9 60 72 B2 F8 FA	24777	64248
65 3A 73 8C 1C FB	14949	64284
FB 36 73 64 40 FB	14075	64320
