<Function 1, scan #0, time 0.0034000000450760126>
00-18-C7-37-88-4E	7E-49-05-EA-38-6E
raw_mcr	raw_count	mcr_multiplier	count_gain
57294	21558	1	256
57330	16209	1	256
57365	16530	1	256
57401	15942	1	256
57437	22738	1	64
57473	8454	1	256
57509	13582	1	64
57545	16489	1	64
57580	18894	1	64
57616	27648	1	16
57652	16837	1	64
57688	15959	1	64
57724	9851	1	64
57760	9486	1	64
57796	19570	1	64
57831	16507	1	64
57867	8741	1	64
57903	17646	1	16
57939	21376	1	64
57975	18610	1	64
58011	8219	1	64
58046	13184	1	64
58082	13531	1	4
58118	21394	1	16
58154	14510	1	64
58190	32293	1	64
58226	18688	1	64
58262	26135	1	64
58297	31173	1	64
58333	10519	1	64
58369	18487	1	64
58405	9709	1	256
58441	14394	1	256
58477	9517	1	256
58513	8907	1	256
58548	12901	1	256
58584	15082	1	256
58620	9211	1	256
58656	8536	1	256
58692	13064	1	256
58728	18103	1	64
58763	10403	1	256
58799	10232	1	256
58835	13745	1	256
58871	18185	1	64
58907	24160	1	64
58943	23323	1	64
58979	11067	1	64
59014	8214	1	256
59050	14245	1	64
59086	9632	1	64
59122	24114	1	64
59158	13445	1	64
59194	2048	1	1
59229	27392	1	16
59265	19945	1	64
59301	13280	1	64
59337	9947	1	4
59373	10382	1	64
59409	8622	1	64
59445	11968	1	64
59480	11813	1	16
59516	12654	1	64
59552	9330	1	64
59588	878	1	1
59624	0	1	1
59660	28251	1	16
59695	1170	1	1
59731	878	1	1
59767	30866	1	4
59803	0	1	1
59839	585	1	1
59875	2926	1	1
59911	293	1	1
59946	10551	1	16
59982	21870	1	16
60018	4974	1	1
60054	32283	1	64
60090	878	1	1
60126	0	1	1
60162	0	1	1
60197	10331	1	16
60233	19895	1	16
60269	21321	1	16
60305	21083	1	64
60341	10409	1	64
60377	14281	1	16
60412	10171	1	64
60448	9536	1	64
60484	16603	1	16
60520	16718	1	64
60556	12261	1	64
60592	0	1	1
60628	27959	1	16
60663	9618	1	64
60699	293	1	1
60735	12489	1	16
60771	0	1	1
60807	0	1	1
60843	1463	1	1
60878	11721	1	16
60914	18414	1	16
60950	13751	1	1
60986	0	1	1
61273	0	1	1
61309	11337	1	16
61345	8357	1	16
61380	22016	1	4
61416	4096	1	1
61452	19749	1	16
61488	0	1	1
61560	0	1	1
61595	9911	1	16
61631	11506	1	64
61667	20773	1	1
61703	0	1	1
61918	0	1	1
61954	16494	1	16
61990	10002	1	16
62026	10469	1	64
62061	0	1	1
62097	6144	1	1
62133	19749	1	4
62169	11150	1	64
62205	15817	1	16
62241	0	1	1
62277	0	1	1
62312	12471	1	16
62348	0	1	1
62384	28709	1	16
62420	23515	1	16
62456	9184	1	64
62492	12654	1	64
62527	25600	1	16
62563	15369	1	64
62599	29559	1	64
62635	17555	1	256
62671	20430	1	256
62707	19413	1	256
62743	23747	1	256
62778	24554	1	256
62814	19155	1	256
62850	27639	1	64
62886	29440	1	64
62922	15927	1	256
62958	11965	1	256
62994	8873	1	64
63029	9655	1	1
63065	19945	1	64
63101	11776	1	64
63137	12434	1	64
63173	11904	1	64
63209	8306	1	64
63244	10130	1	16
63280	4974	1	1
63316	8997	1	4
63352	4096	1	1
63388	10688	1	64
63424	17298	1	16
63460	8850	1	64
63495	13659	1	16
63531	30171	1	64
63567	27483	1	16
63603	13691	1	64
63639	17929	1	64
63675	30354	1	4
63710	30592	1	16
63746	10414	1	64
63782	24503	1	16
63818	0	1	1
63926	0	1	1
63961	12910	1	16
63997	14382	1	64
64033	28215	1	16
64069	14921	1	16
64105	29842	1	4
64141	0	1	1
64177	13166	1	16
64212	10770	1	16
64248	24777	1	16
64284	14949	1	64
64320	14075	1	64
64356	12251	1	16
64392	21184	1	64
64427	14497	1	256
64463	17138	1	64
64499	8198	1	256
64535	31689	1	64
64571	9830	1	256
64607	28814	1	64
64643	25339	1	64
64678	20073	1	64
64714	21993	1	64
64750	9234	1	16
64786	29093	1	16
64822	15049	1	16
64858	0	1	1
64893	0	1	1
64929	19474	1	16
64965	15470	1	16
65001	25966	1	4
65037	8521	1	16
65073	26917	1	1
65109	13678	1	4
65144	10295	1	16
65180	10496	1	16
65216	15872	1	4
65252	9714	1	64
65288	585	1	1
65324	0	1	1
65359	23442	1	16
65395	12800	1	4
65431	11259	1	64
65467	13897	1	4
65503	10331	1	16
32769	31305	2	1
32787	878	2	1
32805	0	2	1
32823	10258	2	64
32841	12379	2	16
32859	10825	2	1
32877	17262	2	4
32895	22235	2	4
32913	13202	2	16
32930	0	2	1
32984	0	2	1
33002	8773	2	64
33020	14043	2	1
33038	16183	2	16
33056	20773	2	4
33074	0	2	1
33092	29550	2	16
33110	0	2	1
33128	26825	2	16
33146	18176	2	16
33163	10021	2	16
33181	10807	2	64
33199	26295	2	16
33217	13225	2	64
33235	16338	2	64
33253	12517	2	64
33271	14043	2	16
33289	18574	2	64
33307	26469	2	64
33325	14683	2	64
33343	12224	2	64
33361	13463	2	64
33379	12873	2	16
33396	4389	2	1
33414	28773	2	64
33432	15739	2	64
33450	13422	2	64
33468	19854	2	64
33486	29710	2	64
33504	11506	2	64
33522	10546	2	64
33540	10112	2	64
33558	28960	2	64
33576	22693	2	64
33594	9214	2	256
33612	19447	2	64
33629	25522	2	64
33647	15593	2	64
33665	20146	2	64
33683	21614	2	16
33701	20622	2	64
33719	24855	2	64
33737	22235	2	64
33755	29600	2	64
33773	19328	2	64
33791	21605	2	64
33809	19909	2	64
33827	18994	2	64
33845	24247	2	64
33862	17614	2	64
33880	9527	2	64
33898	24210	2	16
33916	12142	2	64
33934	15415	2	16
33952	10679	2	4
33970	2048	2	1
33988	31561	2	16
34006	0	2	1
34024	26149	2	16
34042	0	2	1
34060	27593	2	16
34078	11849	2	4
34095	0	2	1
34113	15963	2	16
34131	0	2	1
34185	0	2	1
34203	11995	2	16
34221	14318	2	16
34239	0	2	1
34257	0	2	1
34275	25874	2	16
34293	24576	2	4
34311	9216	2	16
34329	0	2	1
34346	0	2	1
34364	15323	2	16
34382	18597	2	16
34400	14336	2	1
34418	1755	2	1
34436	0	2	1
34472	0	2	1
34490	19529	2	16
34508	0	2	1
34526	11319	2	16
34544	0	2	1
34562	22821	2	16
34579	0	2	1
34705	0	2	1
34723	10405	2	16
34741	19986	2	16
34759	23735	2	16
34777	15799	2	1
34795	11163	2	64
34812	14976	2	64
34830	0	2	1
34848	0	2	1
34866	12594	2	64
34884	22235	2	1
34902	16055	2	16
34920	0	2	1
34992	0	2	1
35010	8631	2	4
35028	20718	2	16
35045	8777	2	1
35063	0	2	1
35081	31963	2	4
35099	293	2	1
35117	0	2	1
35225	0	2	1
35243	9710	2	16
35261	0	2	1
35278	0	2	1
35296	8329	2	64
35314	10569	2	64
35332	11922	2	4
35350	10222	2	16
35368	10075	2	64
35386	13170	2	64
35404	10880	2	64
35422	0	2	1
35440	8192	2	4
35458	0	2	1
35494	0	2	1
35511	8192	2	16
35529	0	2	1
35547	9161	2	16
35565	25307	2	4
35583	9015	2	16
35601	0	2	1
35619	13239	2	16
35637	10295	2	16
35655	11776	2	64
35673	20425	2	16
35691	16677	2	4
35709	0	2	1
35780	0	2	1
35798	15287	2	16
35816	22528	2	4
35834	24576	2	1
35852	13577	2	64
35870	13166	2	1
35888	14043	2	16
35906	11214	2	64
35924	10697	2	16
35942	293	2	1
35960	24064	2	4
35978	29623	2	4
35995	0	2	1
36013	0	2	1
36031	9509	2	4
36049	28233	2	4
36067	14153	2	16
36085	0	2	1
36103	15945	2	4
36121	12178	2	16
36139	13678	2	4
36157	0	2	1
36175	30793	2	4
36193	28434	2	16
36211	15671	2	16
36228	8667	2	16
36246	22162	2	4
36264	14501	2	16
36282	1463	2	1
36300	0	2	1
36318	29623	2	16
36336	8663	2	64
36354	9467	2	64
36372	26295	2	16
36390	13015	2	64
36408	31817	2	4
36426	26624	2	1
36444	15214	2	16
36461	9070	2	16
36479	0	2	1
36533	0	2	1
36551	17211	2	64
36569	14706	2	64
36587	13056	2	16
36605	9422	2	64
36623	28251	2	16
36641	10135	2	64
36659	18011	2	16
36677	10624	2	16
36694	15433	2	64
36712	10267	2	64
36730	9486	2	64
36748	15214	2	1
36766	0	2	1
36784	293	2	1
36802	11995	2	4
36820	30025	2	16
36838	16457	2	4
36856	15424	2	64
36874	17408	2	16
36892	25929	2	16
36910	17499	2	16
36927	11017	2	64
36945	8846	2	64
36963	18487	2	16
36981	0	2	1
37017	0	2	1
37035	27429	2	16
37053	8594	2	64
37071	10953	2	64
37089	22405	2	64
37107	19529	2	64
37125	31433	2	64
37143	22839	2	16
37161	13166	2	16
37178	14158	2	64
37196	17879	2	64
37214	9746	2	64
37232	23643	2	16
37250	29093	2	16
37268	12215	2	16
37286	15232	2	16
37304	12635	2	64
37322	11410	2	1
37340	19109	2	16
37358	10185	2	16
37376	0	2	1
37394	0	2	1
37411	9435	2	16
37429	0	2	1
37447	11246	2	16
37465	0	2	1
37519	0	2	1
37537	16347	2	16
37555	0	2	1
37573	28562	2	16
37591	26990	2	4
37609	9467	2	64
37627	22491	2	16
37644	8558	2	4
37662	10446	2	64
37680	11703	2	1
37698	14629	2	16
37716	19054	2	16
37734	11429	2	16
37752	10149	2	16
37770	8613	2	16
37788	0	2	1
37824	0	2	1
37842	18889	2	16
37860	15872	2	4
37877	0	2	1
37931	0	2	1
37949	20023	2	16
37967	0	2	1
37985	24411	2	16
38003	5266	2	1
38021	0	2	1
38039	0	2	1
38057	28471	2	16
38075	25088	2	16
38093	11630	2	16
38110	0	2	1
38128	0	2	1
38146	11282	2	16
38164	22747	2	4
38182	12471	2	16
38200	30939	2	4
38218	15707	2	16
38236	0	2	1
38254	24667	2	16
38272	16457	2	4
38290	0	2	1
38308	0	2	1
38326	20773	2	1
38343	0	2	1
38361	0	2	1
38379	11497	2	64
38397	26953	2	16
38415	30354	2	4
38433	19584	2	16
38451	0	2	1
38487	0	2	1
38505	18962	2	16
38523	21065	2	4
38541	7314	2	1
38559	0	2	1
38577	0	2	1
38594	25966	2	4
38612	0	2	1
38648	0	2	1
38666	27502	2	4
38684	9097	2	64
38702	0	2	1
38738	0	2	1
38756	18304	2	16
38774	878	2	1
38792	0	2	1
38810	293	2	1
38827	0	2	1
38899	0	2	1
38917	10533	2	16
38935	0	2	1
38953	22674	2	16
38971	12873	2	1
38989	0	2	1
39007	0	2	1
39025	14939	2	16
39043	15506	2	1
39060	0	2	1
39078	0	2	1
39096	9710	2	16
39114	26587	2	16
39132	1463	2	1
39150	0	2	1
39168	27648	2	4
39186	5559	2	1
39204	0	2	1
39365	0	2	1
39383	18761	2	16
39401	0	2	1
39419	13792	2	64
39437	16969	2	1
39455	24576	2	1
39473	8686	2	64
39491	14071	2	64
39509	12123	2	16
39526	30135	2	4
39544	15214	2	1
39562	0	2	1
39616	0	2	1
39634	19529	2	16
39652	20718	2	16
39670	29495	2	16
39688	8814	2	16
39706	0	2	1
39724	26039	2	16
39742	18578	2	16
39759	19602	2	4
39777	29184	2	16
