<Function 1, scan #0, time 0.0033833333291113377>
00-18-62-8E-34-4C	57-63-03-FA-CC-CE
raw_mcr	raw_count	mcr_multiplier	count_gain
16331894	0	2	1
16342380	0	2	1
16347624	498	2	1
16352868	28924	2	16
16358112	31390	2	16
16363354	11646	2	16
16368598	0	2	1
16373842	0	2	1
16379084	498	2	1
16384328	0	2	1
16489196	0	2	1
16494440	498	2	1
16499684	0	2	1
16504926	1010	2	1
16510170	0	2	1
16541630	0	2	1
16546874	2034	2	1
16552118	1010	2	1
16557360	0	2	1
16573090	0	2	1
16578334	1010	2	1
16583578	0	2	1
16636012	0	2	1
16641256	498	2	1
16646498	30559	2	16
16651742	31613	2	16
16656986	2034	2	1
16662228	0	2	1
16772340	0	2	1
8388792	8862	4	16
8391414	13149	4	16
8394036	0	4	1
8396658	11775	4	64
8399278	0	4	1
8412388	0	4	1
8415010	1522	4	1
8417630	0	4	1
8462200	0	4	1
8464822	24252	4	16
8467444	498	4	1
8470064	0	4	1
8535608	0	4	1
8538230	1010	4	1
8540850	0	4	1
8548716	0	4	1
8551338	2034	4	1
8553960	0	4	1
8569690	0	4	1
8572312	498	4	1
8574932	0	4	1
8606394	0	4	1
8609016	25756	4	16
8611636	0	4	1
8629988	0	4	1
8632610	498	4	1
8635232	0	4	1
8682422	0	4	1
8685044	498	4	1
8687666	0	4	1
8734856	0	4	1
8737478	498	4	1
8740100	0	4	1
8761074	0	4	1
8763696	20670	4	16
8766318	16249	4	4
8768938	0	4	1
8779426	0	4	1
8782048	15356	4	4
8784670	8829	4	16
8787290	498	4	1
8789912	0	4	1
8810886	0	4	1
8813508	498	4	1
8816130	0	4	1
8818752	0	4	1
8821372	498	4	1
8823994	0	4	1
8837104	0	4	1
8839724	498	4	1
8842346	0	4	1
8844968	0	4	1
8847590	1010	4	1
8850212	0	4	1
8855456	0	4	1
8858076	4082	4	1
8860698	0	4	1
8897402	0	4	1
8900024	498	4	1
8902646	0	4	1
8957702	0	4	1
8960324	16671	4	16
8962944	14845	4	16
8965566	0	4	1
9028488	0	4	1
9031110	498	4	1
9033730	0	4	1
9038974	0	4	1
9041596	8690	4	1
9044218	23029	4	4
9046840	0	4	1
9080922	0	4	1
9083544	24510	4	16
9086164	8477	4	16
9088786	0	4	1
9125490	0	4	1
9128112	996	4	1
9130734	0	4	1
9162194	0	4	1
9164816	2034	4	1
9167438	0	4	1
9170060	0	4	1
9172680	1522	4	1
9175302	0	4	1
9214628	0	4	1
9217250	6130	4	1
9219872	1522	4	1
9222494	0	4	1
9261818	0	4	1
9264440	15836	4	16
9267062	498	4	1
9269684	0	4	1
9274928	0	4	1
9277550	5106	4	1
9280170	0	4	1
9309010	0	4	1
9311632	10727	4	64
9314252	12260	4	1
9316874	2546	4	1
9319496	0	4	1
9366686	0	4	1
9369308	498	4	1
9371930	0	4	1
9374552	0	4	1
9377174	2034	4	1
9379796	0	4	1
9413878	0	4	1
9416500	2546	4	1
9419120	0	4	1
9442716	0	4	1
9445338	2034	4	1
9447960	0	4	1
9468934	0	4	1
9471556	1522	4	1
9474176	0	4	1
9539720	0	4	1
9542340	1522	4	1
9544962	0	4	1
9560692	0	4	1
9563314	4082	4	1
9565936	0	4	1
9581666	0	4	1
9584288	498	4	1
9586910	0	4	1
9589532	1522	4	1
9592154	0	4	1
9594776	3556	4	1
9597396	0	4	1
9600018	0	4	1
9602640	3058	4	1
9605262	3570	4	1
9607884	2034	4	1
9610506	0	4	1
9741590	0	4	1
9744212	4068	4	1
9746834	0	4	1
9822864	0	4	1
9825484	3044	4	1
9828106	0	4	1
9862188	0	4	1
9864810	498	4	1
9867432	0	4	1
9898892	0	4	1
9901514	16221	4	16
9904136	13298	4	1
9906758	0	4	1
9909380	20380	4	16
9912000	0	4	1
9956570	0	4	1
9959192	498	4	1
9961814	0	4	1
9964436	0	4	1
9967056	1010	4	1
9969678	0	4	1
9972300	1010	4	1
9974922	0	4	1
10027356	0	4	1
10029978	25023	4	64
10032600	0	4	1
10040464	0	4	1
10043086	1522	4	1
10045708	0	4	1
10087656	0	4	1
10090276	498	4	1
10092898	0	4	1
10103386	0	4	1
10106006	1522	4	1
10108628	0	4	1
10140090	0	4	1
10142710	498	4	1
10145332	0	4	1
10153198	0	4	1
10155820	3570	4	1
10158440	0	4	1
10168928	0	4	1
10171550	9886	4	16
10174172	15346	4	1
10176792	0	4	1
10234470	0	4	1
10237092	20221	4	16
10239714	8676	4	1
10242336	0	4	1
10244958	22908	4	4
10247578	29500	4	16
10250200	0	4	1
10292148	0	4	1
10294770	32764	4	4
10297392	24057	4	4
10300012	0	4	1
10315744	0	4	1
10318364	498	4	1
10320986	0	4	1
10341960	0	4	1
10344582	3570	4	1
10347204	2546	4	1
10349826	0	4	1
10352446	0	4	1
10355068	8445	4	16
10357690	3570	4	1
10360312	0	4	1
10399638	0	4	1
10402260	498	4	1
10404880	0	4	1
10417990	0	4	1
10420612	1010	4	1
10423232	0	4	1
10494018	0	4	1
10496640	32121	4	4
10499262	10361	4	4
10501884	0	4	1
10514992	0	4	1
10517614	16764	4	4
10520236	24569	4	4
10522858	0	4	1
10533344	0	4	1
10535966	498	4	1
10538588	0	4	1
10572670	0	4	1
10575292	498	4	1
10577914	0	4	1
10635590	0	4	1
10638212	996	4	1
10640834	0	4	1
10756190	0	4	1
10758810	1522	4	1
10761432	1010	4	1
10764054	0	4	1
10792892	0	4	1
10795514	1522	4	1
10798136	0	4	1
10892518	0	4	1
10895140	4580	4	1
10897760	5604	4	1
10900382	0	4	1
10923978	0	4	1
